Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
73,India,Asia-Pacific,131,27,53.01,50-59.9,-0.890000000000001,49.7,53,42.2,78.5,73.8,5.8,64.3,58.1,70,59.8,40,40,53.9,50-59.9
74,Indonesia,Asia-Pacific,60,10,63.55,60-69.9,-0.850000000000009,38.5,44.2,39.3,81.9,90.6,66.8,70.6,59.5,81.5,78.8,50,60,64.4,60-69.9
75,Iran,Middle East and North Africa,169,14,42.23,40-49.9,-0.170000000000002,25,26.3,19.6,81.1,94.8,58.8,38.9,50.7,40.6,55.8,5,10,42.4,40-49.9
76,Iraq,Middle East and North Africa,0,0,16.02,20-39.9,16.02,14.6,7.6,19,0,0,0,43.1,56.8,67.1,0,0,0,0,0-19.9
77,Ireland,Europe,3,2,81.98,80-100,-0.019999999999996,92.9,93.9,82.8,78.4,80.5,86.8,87.2,61.2,81.5,78.6,90,70,82,80-100
78,Israel,Middle East and North Africa,34,2,68.79,60-69.9,0.790000000000006,82.3,82.8,62.7,60.9,49.1,31.1,84.9,56.9,83,82.6,80,70,68,60-69.9
79,Italy,Europe,69,36,62.51,60-69.9,-2.89000000000001,81.2,77.9,61.1,57.3,13.7,20.4,73.8,70.6,82.6,78.6,80,50,65.4,60-69.9
80,Jamaica,Americas,39,6,68.03,60-69.9,0.629999999999995,65.8,70.8,48.6,79.8,72.2,82.6,67.7,64.4,75.1,70,70,50,67.4,60-69.9
81,Japan,Asia-Pacific,31,6,69.34,60-69.9,-0.560000000000002,94.1,94.7,80.7,68.1,48.4,18.1,78.3,66.8,87.1,75.2,60,60,69.9,60-69.9
82,Jordan,Middle East and North Africa,93,5,58.86,50-59.9,-1.24,54.1,42.7,48.3,84.7,70,3.1,59.8,57.4,83.6,71.4,70,60,60.1,60-69.9
83,Kazakhstan,Asia-Pacific,71,13,62.23,60-69.9,-2.17000000000001,54.8,34.4,36.9,93,85.1,70.6,64.6,62.7,67.7,74.8,50,50,64.4,60-69.9
